Dataset Name,Image Name,channel1_color,channel1_min,channel1_max,channel2_color,channel2_min,channel2_max,channel3_color,channel3_min,channel3_max,channel4_color,channel4_min,channel4_max
Neural_markers_CS23,CS23_12602_GBX2_FOXP2-Stitching-10X_P4.czi,0000FF,1188,12082,00FF00,246,2691,FF0000,1065,3864,,,
Neural_markers_CS23,CS23_12602_GBX2_FOXP2-Stitching-10X_P5.czi,0000FF,1720,13352,00FF00,655,2799,FF0000,1843,2858,,,
Neural_markers_CS23,CS23_12780_GBX2_CALB-Stitching-10X.czi,0000FF,1999,7599,00FF00,1743,4056,FF0000,1229,3191,,,
Neural_markers_CS23,CS23_12780_GBX2_PAX6-Stitching-10X.czi,0000FF,82,14335,00FF00,369,8607,FF0000,1434,3718,,,
Neural_markers_CS23,CS23_12004_FOXP2_COUPTFII-Stitching-23.czi,0000FF,1021,11384,00FF00,422,5112,FF0000,559,5479,,,
Neural_markers_CS23,CS23_12004_FOXP2_PAX6_Stitching-18.czi,0000FF,914,10090,00FF00,255,8848,FF0000,476,5876,,,
Neural_markers_CS23,CS23_12004_DLX2_COUPTFII-Stitching-12.czi,0000FF,1142,13187,00FF00,893,4506,FF0000,614,7246,,,
Neural_markers_CS23,CS23_12004_DLX2_PAX6-Stitching-05.czi,0000FF,3582,12328,00FF00,696,11346,FF0000,800,7994,,,
Neural_markers_CS23,CS23_12602_DLX2_ASCL1-Stitching-10X_P1.czi,0000FF,4060,16383,00FF00,696,5381,FF0000,599,8052,,,
Neural_markers_CS23,CS23_12602_DLX2_ASCL1-Stitching-10X_P2.czi,0000FF,946,5983,00FF00,450,3457,FF0000,1106,2958,,,
Neural_markers_CS23,CS23_12602_DLX2_ASCL1-Stitching-10X_P4.czi,0000FF,2747,8820,00FF00,617,4787,FF0000,2005,6274,,,
Neural_markers_CS23,CS23_12602_DLX2_ASCL1-Stitching-10X_P5.czi,0000FF,2550,11386,00FF00,321,3730,FF0000,1127,4531,,,
Neural_markers_CS23,CS23_12602_DLX2_ASCL1_Stitching-10X_P3.czi,0000FF,3662,12410,00FF00,369,3837,FF0000,962,4987,,,
Neural_markers_CS23,CS23_12780_DLX2_ASCL1_Stitching-10X.czi,0000FF,819,14786,00FF00,549,4302,FF0000,1550,7445,,,
Neural_markers_CS23,CS23_12780_DLX2_LHX6-Stitching_10X.czi,0000FF,2417,13286,00FF00,1761,5151,FF0000,451,6006,,,
Neural_markers_CS23,CS23_12780_DLX2_NKX2.1-Stitching-10X.czi,0000FF,573,13229,00FF00,592,3741,FF0000,2089,5283,,,
Neural_markers_CS23,CS23_12780_DLX2_OLIG2-Stitching-10X.czi,0000FF,1232,11140,00FF00,2231,5085,FF0000,1826,4705,,,
Neural_markers_CS23,CS23_12780_COUPTFII_NKX2.1_STITCHING_10X.czi,0000FF,845,8270,00FF00,1026,4111,FF0000,412,1893,,,
Neural_markers_CS23,CS23_12602_COUPTFI_COUP-TFII-Stitching-10X_P1.czi,0000FF,4571,19716,00FF00,578,5300,FF0000,771,10529,,,
Neural_markers_CS23,CS23_12602_COUPTFI_COUP-TFII-Stitching-10X_P2.czi,0000FF,2499,12568,00FF00,1311,5921,FF0000,1843,8451,,,
Neural_markers_CS23,CS23_12602_COUPTFI_COUP-TFII-Stitching-10X_P3.czi,0000FF,1515,11795,00FF00,942,5378,FF0000,1679,7141,,,
Neural_markers_CS23,CS23_12602_COUPTFI_COUP-TFII-Stitching-10X_P4.czi,0000FF,1147,9502,00FF00,1229,4048,FF0000,1393,5758,,,
Neural_markers_CS23,CS23_12602_COUPTFI_COUP-TFII-Stitching-10X_P5.czi,0000FF,1311,12287,00FF00,328,3241,FF0000,737,4704,,,
Neural_markers_CS23,CS23_12780_COUPTFI_NKX2.1_STITCHING_10X.czi,0000FF,412,4664,00FF00,1363,3418,FF0000,713,2496,,,
Neural_markers_CS23,CS23_12780_CalR_CALBStitching-10X.czi,0000FF,1144,3279,00FF00,964,3216,FF0000,243,1522,,,
Neural_markers_CS23,CS23_12780_CalR_GAP43_Stitching-10X.czi,0000FF,4682,14294,00FF00,901,9389,FF0000,410,6380,,,
Neural_markers_CS23,CS23_12004_CALB_GAP43-Stitching-04.czi,0000FF,1556,11672,00FF00,819,3960,FF0000,2662,6076,,,
Neural_markers_CS23,CS23_12780_CALB_GAP43-Stitching-10X.czi,0000FF,4090,12165,00FF00,1191,4268,FF0000,1872,3202,,,
Neural_markers_CS23,CS23_12602_ASCL1_LHX6_P3-Stitching-10X.czi,0000FF,3267,13956,00FF00,2435,7972,FF0000,328,5257,,,
Neural_markers_CS23,cs23_12602_ASCL1_OLIG2-Stitching-10X.czi,0000FF,1311,11052,00FF00,573,1514,FF0000,778,2548,,,
Neural_markers_CS23,CS23_12780_ASCL1_COUP-TFII-Stitching-10X.czi,0000FF,181,3808,00FF00,787,3179,FF0000,577,3931,,,
Neural_markers_CS23,CS23_12780_ASCL1_DLX2-Stitching-10X-2.czi,0000FF,557,2255,00FF00,369,1292,FF0000,369,1514,,,
Neural_markers_CS23,CS23_12780_ASCL1_DLX2-Stitching-10X.czi,0000FF,770,7927,00FF00,787,3481,FF0000,672,3362,,,
Neural_markers_CS23,CS23_12780_ASCL1_LHX6-Stitching-10X.czi,0000FF,2007,8005,00FF00,3727,8695,FF0000,492,3178,,,
Neural_markers_CS23,CS23_12780_ASCL1_NKX2.1-Stitching-10X.czi,0000FF,1280,8082,00FF00,902,9597,FF0000,451,3051,,,
Neural_markers_CS23,CS23_12780_ASCL1_PAX6-Stitching-10X.czi,0000FF,492,6740,00FF00,655,4127,FF0000,586,5094,,,
TNNI3-SOX9,CS16_669_29x10tile.czi,00FF00,381,3127,FF0000,539,4970,0000FF,154,1458,,,
TNNI3-SOX9,CS16_669_35tilex4.1.czi,0000FF,1714,9871,00FF00,880,6650,FF0000,951,7119,,,
TNNI3-SOX9,CS16_669_39tilex4.1.czi,0000FF,1320,13732,00FF00,446,5973,FF0000,1003,6616,,,
TNNI3-SOX9,CS16_669_43tilex4.1.czi,0000FF,2193,15076,00FF00,870,7295,FF0000,1151,8516,,,
TNNI3-SOX9,CS16_669_47tilex4.1.czi,0000FF,1233,5110,00FF00,408,6855,FF0000,843,9377,,,
TNNI3-SOX9,CS20_A167_85tile.czi,00FF00,248,3527,FF0000,563,6407,0000FF,155,813,,,
TNNI3-SOX9,CS20_A167_89tile5.czi,0000FF,980,9175,00FF00,475,7722,FF0000,1065,8283,,,
TNNI3-SOX9,CS20_A167_91tile5.czi,0000FF,714,7471,00FF00,426,6320,FF0000,1061,11459,,,
TNNI3-SOX9,CS20_A167_95tile5.czi,0000FF,814,6177,00FF00,450,7023,FF0000,1074,8910,,,
TNNI3-SOX9,CS23_1055_3_93_5x5tile.czi,00FF00,309,5791,FF0000,866,8473,0000FF,172,12188,,,
TNNI3-SOX9,CS23_1055_95tile5.czi,0000FF,692,8635,00FF00,801,5685,FF0000,341,8190,,,
TNNI3-SOX9,CS23_1055_98tile5.czi,0000FF,707,5958,00FF00,458,7841,FF0000,577,8034,,,
TNNI3-SOX9,CS23_1055_105tile5.czi,0000FF,1551,5444,00FF00,163,9755,FF0000,478,8531,,,
TNNI3-SOX9,CS23_1055_3_109_5x5tile.czi,00FF00,0,7465,FF0000,400,10911,0000FF,323,872,,,
TNNI3-SOX9,10pcw_15701_6_55x5_5x5tile.czi,00FF00,418,3179,FF0000,1584,4541,0000FF,175,3892,,,
TNNI3-SOX9,10pcw_15701_6_81x5_5x5tile.czi,00FF00,186,3175,FF0000,1985,6312,0000FF,138,4032,,,
